level,position_type,contest,vote_for,share_of_27513_voters,candidate,party,incumbent,home,ai_color,ai_label,ai_confidence,ai_basis,ai_why,ai_quote,bio,record,links,sources
State appellate courts,NC Supreme Court,"NC Supreme Court, Associate Justice Seat 1",1,100%,Anita Earls,Democratic,yes,Durham,gray,No position found,high,na,Judicial race. Judges are generally barred from pre-committing on policy issues; no AI or data-center position expected or found.,,Associate Justice since 2019; former voting-rights lawyer.,Frequent dissenter on redistricting and voter-ID rehearings. In 2023 sued the Judicial Standards Commission over an investigation of her comments on diversity in the courts; dropped the suit after the commission dismissed the complaints.,Campaign site (unverified): https://www.earls4justice.com | Wikipedia: https://en.wikipedia.org/wiki/Anita_Earls | NCSBE judicial voter guide: https://www.ncsbe.gov/voting/upcoming-election/judicial-voter-guide-2026-general-election,NC Newsline: Earls sues commission (2023): https://ncnewsline.com/2023/08/29/nc-supreme-court-justice-anita-earls-sues-states-judicial-standards-commission/ | Bolts: Earls vs Stevens: https://boltsmag.org/north-carolina-supreme-court-election-2026/
State appellate courts,NC Supreme Court,"NC Supreme Court, Associate Justice Seat 1",1,100%,Sarah Stevens,Republican,no,Mount Airy,gray,No position found,high,na,Judicial race. No AI or data-center position expected or found.,,NC House member 2009-2026 (speaker pro tem 2017-2025); resigned in June 2026 to campaign.,"Conservative legislative record (12-week abortion law, permitless-carry measures, election-law bills).",Campaign site (unverified): https://www.sarahstevensnc.com | Wikipedia: https://en.wikipedia.org/wiki/Sarah_Stevens_(politician) | Ballotpedia: https://ballotpedia.org/Sarah_Stevens,WRAL: Stevens resigns House seat: https://www.wral.com/news/nccapitol/sarah-stevens-resign-legislature-supreme-nc-anita-earls-june-2026/ | Carolina Journal: Stevens files: https://www.carolinajournal.com/stevens-files-for-2026-nc-supreme-court-race/
State appellate courts,NC Court of Appeals,"NC Court of Appeals, Seat 1",1,100%,John S. Arrowood,Democratic,yes,Raleigh,gray,No position found,high,na,Judicial race; no AI or data-center position expected or found.,,Court of Appeals judge (appointed 2007 and 2017; elected 2018).,In 2018 became the first openly gay person to win a statewide race in NC.,Campaign site (unverified): https://www.keepjudgearrowood.com | NCSBE judicial voter guide: https://www.ncsbe.gov/voting/upcoming-election/judicial-voter-guide-2026-general-election,"Ballotpedia: 2026 appellate elections: https://ballotpedia.org/North_Carolina_intermediate_appellate_court_elections,_2026"
State appellate courts,NC Court of Appeals,"NC Court of Appeals, Seat 1",1,100%,Michael C. Byrne,Republican,no,Raleigh,gray,No position found,high,na,Judicial race; no AI or data-center position expected or found.,,NC administrative law judge since 2020; grew up in Wake County.,Says he has issued almost 400 decisions as an ALJ. Won the March GOP primary over Matt Smith.,Campaign site (unverified): https://www.mb4nc.com | NCSBE judicial voter guide: https://www.ncsbe.gov/voting/upcoming-election/judicial-voter-guide-2026-general-election,The Assembly: appellate primary results: https://www.theassemblync.com/news/politics/nc-appellate-courts-primary-results/
State appellate courts,NC Court of Appeals,"NC Court of Appeals, Seat 2",1,100%,Tobias (Toby) Hampson,Democratic,yes,Raleigh,gray,No position found,high,na,Judicial race; no AI or data-center position expected or found.,,Court of Appeals judge.,Sat on the three-judge panel in the 2024 Riggs v. Griffin Supreme Court election dispute.,NCSBE judicial voter guide: https://www.ncsbe.gov/voting/upcoming-election/judicial-voter-guide-2026-general-election | INDY: who is running for state courts: https://indyweek.com/news/whos-running-state-courts/,"Ballotpedia: 2026 appellate elections: https://ballotpedia.org/North_Carolina_intermediate_appellate_court_elections,_2026"
State appellate courts,NC Court of Appeals,"NC Court of Appeals, Seat 2",1,100%,George Cooper Bell,Republican,no,Cornelius,gray,No position found,high,na,Judicial race; no AI or data-center position expected or found.,,"Superior Court judge, District 26C (Mecklenburg).",,NCSBE judicial voter guide: https://www.ncsbe.gov/voting/upcoming-election/judicial-voter-guide-2026-general-election,"Ballotpedia: 2026 appellate elections: https://ballotpedia.org/North_Carolina_intermediate_appellate_court_elections,_2026"
State appellate courts,NC Court of Appeals,"NC Court of Appeals, Seat 3",1,100%,Christine Marie Walczyk,Democratic,no,Raleigh,gray,No position found,high,na,Judicial race; no AI or data-center position expected or found.,,Wake County district court judge for 19 years.,Endorsed by former Chief Justice Cheri Beasley; won the March Democratic primary over James Whalen.,Campaign site (unverified): https://judgechristine.org | NCSBE judicial voter guide: https://www.ncsbe.gov/voting/upcoming-election/judicial-voter-guide-2026-general-election,The Assembly: appellate primary results: https://www.theassemblync.com/news/politics/nc-appellate-courts-primary-results/
State appellate courts,NC Court of Appeals,"NC Court of Appeals, Seat 3",1,100%,Craig Collins,Republican,no,Gastonia,gray,No position found,high,na,Judicial race; no AI or data-center position expected or found.,,"District Court judge, District 27A (Gaston County).",,Campaign site (unverified): https://www.votecraigcollins.com | NCSBE judicial voter guide: https://www.ncsbe.gov/voting/upcoming-election/judicial-voter-guide-2026-general-election,"Ballotpedia: 2026 appellate elections: https://ballotpedia.org/North_Carolina_intermediate_appellate_court_elections,_2026"
NC General Assembly,NC Senate,"NC Senate, District 16",1,57.2%,Gale Adcock,Democratic,yes,Raleigh,gray,No position found,low,none,No personal AI or data-center statement found.,,"Family nurse practitioner; state senator since 2023, state House 2015-2023.","The Senate has not voted on the House version of the GOP data-center bill (SB 730, parked in Senate Rules since June 2026), so there is no Senate data-center floor vote to judge her by.",Campaign site (unverified): https://www.galeadcock.com | Wikipedia: https://en.wikipedia.org/wiki/Gale_Adcock | Ballotpedia: https://ballotpedia.org/Gale_Adcock,"Wikipedia: https://en.wikipedia.org/wiki/Gale_Adcock | WUNC: House passes SB 730, Senate next: https://www.wunc.org/politics/2026-06-04/nc-house-passes-data-center-regulation"
NC General Assembly,NC Senate,"NC Senate, District 16",1,57.2%,Philip Hensley,Republican,no,Cary (27513),gray,No position found,low,none,No AI or data-center position found.,,Cary resident; lost the 2024 race for NC House 11 to Allison Dahle.,"2024 priorities: advocate for Cary and small business, repave state roads in Cary, plan transportation, housing and infrastructure 20-30 years ahead.",Campaign Facebook: https://www.facebook.com/hensley4senate/ | Ballotpedia: https://ballotpedia.org/Philip_Hensley,Ballotpedia: https://ballotpedia.org/Philip_Hensley | N&O Q&A (2024): https://ca.news.yahoo.com/republican-philip-hensley-candidate-nc-223629155.html
NC General Assembly,NC Senate,"NC Senate, District 16",1,57.2%,Jonathan D. Miller,Libertarian,no,Cary,gray,No position found,low,none,No AI or data-center position found.,,Lifelong Libertarian; has run since 2020 to give voters a Libertarian option.,,LP candidate page: https://lp.org/candidate/jonathan-d-miller/ | Ballotpedia: district: https://ballotpedia.org/North_Carolina_State_Senate_District_16,Libertarian Party candidate page: https://lp.org/candidate/jonathan-d-miller/
NC General Assembly,NC Senate,"NC Senate, District 17",1,42.8%,Mrs. Sydney Batch,Democratic,yes,Raleigh,gray,No position found,low,none,No personal AI or data-center statement found.,,State senator since 2021; Senate Minority Leader since 2025; attorney.,"As with SD 16, the Senate has not voted on the House data-center bill.",Campaign site: https://www.sydneybatch.com/ | Wikipedia: https://en.wikipedia.org/wiki/Sydney_Batch | Ballotpedia: https://ballotpedia.org/Sydney_Batch,Wikipedia: https://en.wikipedia.org/wiki/Sydney_Batch
NC General Assembly,NC Senate,"NC Senate, District 17",1,42.8%,Shirley Johnson,Republican,no,Cary,gray,No position found,low,none,No AI or data-center position found.,,Won the March 2026 GOP primary over Sarah Al-Baghdadi.,,INDY questionnaire: https://indyweek.com/news/n-c-senate-district-17-shirley-johnson-2026/ | Ballotpedia: https://ballotpedia.org/Shirley_Johnson_(North_Carolina),Ballotpedia: https://ballotpedia.org/Shirley_Johnson_(North_Carolina) | INDY primary questionnaire: https://indyweek.com/news/n-c-senate-district-17-shirley-johnson-2026/
NC General Assembly,NC Senate,"NC Senate, District 17",1,42.8%,Patrick J. Bowersox,Libertarian,no,Holly Springs,gray,No position found,low,none,No AI or data-center position found.,,Retail manager; former vice chair of the Wake County Libertarian Party.,"Got 25.6% against Batch in 2024. Past priorities: health-care choice, inflation relief, medical cannabis.",Campaign site: https://bowersoxforfreedom.org/meet-patrick-bowersox/ | Ballotpedia: https://ballotpedia.org/Patrick_Bowersox,Ballotpedia: https://ballotpedia.org/Patrick_Bowersox
NC General Assembly,NC House,"NC House, District 11",1,45.5%,Allison A. Dahle,Democratic,yes,Raleigh,green,"Pro, with conditions",low,inferred,"Inferred from co-sponsoring HB 1063, which lets data centers build but makes them pay their own way: report power and water use, big ones (over 40 MW or 1 billion liters of water a year) must self-supply at least 25% carbon-free power, repeal their state sales-tax breaks, and ban ratepayer-funded and local tax incentives. That is close to your green example. No personal statement found.","(Lead sponsor Rep. Lindsey Prather, not Dahle) If a company wants to build a data center in North Carolina, they can. They must simply pay their own way.",State representative since 2019.,"Co-sponsor of HB 1063 (2026), the House Democrats' data-center bill.",Campaign site (unverified): https://www.allisonforhouse.com | NCGA member page: https://www.ncleg.gov/Members/Biography/h/740 | Ballotpedia: https://ballotpedia.org/Allison_Dahle,WUNC: House Democrats propose data-center bill: https://www.wunc.org/politics/2026-04-27/nc-house-democrats-propose-data-center-legislation | NCGA: HB 1063 sponsors and text: https://www.ncleg.gov/BillLookUp/2025/H1063
NC General Assembly,NC House,"NC House, District 11",1,45.5%,Matthew Kordon,Libertarian,no,Cary,gray,No position found,low,none,No AI or data-center position found.,,Cary software engineer and entrepreneur; 2024 Libertarian nominee for this seat.,,Campaign site: https://kordonforliberty.org/meet/ | INDY questionnaire (2024): https://indyweek.com/news/elections-news/candidate-questionnaire-matthew-kordon-nc-house-district-11/ | Ballotpedia: https://ballotpedia.org/Matthew_Kordon,Ballotpedia: https://ballotpedia.org/Matthew_Kordon
NC General Assembly,NC House,"NC House, District 41",1,42.8%,Maria Cervania,Democratic,yes,Cary,yellow,Mixed / unclear,med,stated,"Backs a pay-your-own-way regulatory framework (green-like), but her most visible action amplified opposition to data centers and she has not said what terms would make one welcome. Leans skeptical.","[Lawmakers have been open to AI regulation, but] they could do better.",State representative since 2023.,"Co-sponsor of HB 1063. On SB 730 (GOP data-center plus nuclear/coal bill) she moved to split the data-center rules from the energy provisions; the GOP majority blocked the split. Hosted a June 2026 legislative press event where residents spoke against AI data-center development, mainly over water.",Campaign site (unverified): https://www.mariafornc.com | Wikipedia: https://en.wikipedia.org/wiki/Maria_Cervania,GovTech: advocates air data-center worries (Jun 2026): https://www.govtech.com/artificial-intelligence/at-north-carolina-assembly-advocates-air-data-center-worries | WRAL: House passes SB 730: https://www.wral.com/news/nccapitol/data-center-nuclear-plant-duke-energy-price-bill-nc-june-2026/ | NCGA: HB 1063: https://www.ncleg.gov/BillLookUp/2025/H1063
NC General Assembly,NC House,"NC House, District 41",1,42.8%,Bruce Forster,Republican,no,Raleigh,gray,No position found,low,none,No AI or data-center position found.,,Rematch: lost this seat to Cervania in 2022.,Reported $340 raised as of Feb 2026.,iVoterGuide profile: https://ivoterguide.com/candidate/60855/race/30859/election/1457 | Campaign site (unverified): https://www.forsterforhouse.com | Ballotpedia: https://ballotpedia.org/Bruce_Forster,Ballotpedia: https://ballotpedia.org/Bruce_Forster
NC General Assembly,NC House,"NC House, District 49",1,11.6%,Cynthia Ball,Democratic,yes,Raleigh,green,"Pro, with conditions",low,inferred,Inferred from co-sponsoring HB 1063 (data centers may build but must pay their own way; no tax breaks or ratepayer-funded incentives). No personal statement found.,,State representative since 2017; House Deputy Minority Leader.,Co-sponsor of HB 1063.,Campaign site: https://www.cynthiafornc.com/ | Wikipedia: https://en.wikipedia.org/wiki/Cynthia_Ball,WUNC: House Democrats propose data-center bill: https://www.wunc.org/politics/2026-04-27/nc-house-democrats-propose-data-center-legislation | NCGA: HB 1063: https://www.ncleg.gov/BillLookUp/2025/H1063
NC General Assembly,NC House,"NC House, District 49",1,11.6%,Daran Thomas,Republican,no,Raleigh,gray,No position found,low,none,No AI or data-center position found.,,Raleigh resident; little public campaign information found.,,Campaign site (unverified): https://www.daranthomas.com | Ballotpedia: district: https://ballotpedia.org/North_Carolina_House_of_Representatives_District_49,NCGA: House candidate list: https://webservices.ncleg.gov/ViewDocSiteFile/103525
Wake County offices,County Commissioners,"Wake County Board of Commissioners, At-Large (vote for 2)",2,100%,Christine Kushner,Democratic,no,Raleigh,gray,No position found,low,none,No AI or data-center statement found.,,Wake school board member 2011-2022 (two years as chair); Wake Health and Human Services board; public-health policy background.,Top vote-getter (about 29%) in the 7-way Democratic primary.,Campaign site: https://christineforwake.com/ | INDY questionnaire: https://indyweek.com/news/wake-county-board-of-county-commissioners-christine-kushner-2026/ | Ballotpedia: https://ballotpedia.org/Christine_Kushner,"INDY: Kushner, Singh win primary: https://indyweek.com/news/kushner-singh-win-wake-county-board-of-commissioners-democratic-primary/ | Ballotpedia: https://ballotpedia.org/Christine_Kushner"
Wake County offices,County Commissioners,"Wake County Board of Commissioners, At-Large (vote for 2)",2,100%,Mona Singh,Democratic,no,Cary,green,"Pro, with conditions",low,stated,"Pro-AI with guardrails for county government: wants to use AI and smart tech while managing risk, privacy and transparency. No data-center-specific statement found, so this is about AI, not data centers.",AI and smart technologies promise major benefits but they are not without risks that must be managed.,"Cary technology consultant with 130+ U.S. patents (smartphones, AR); first-time candidate.","Platform: responsible use of technology in county government, public education, health-care access, housing, better county services.",Campaign site: https://www.monaforwake.com/ | INDY questionnaire: https://indyweek.com/news/wake-county-board-of-county-commissioners-mona-singh-2026/ | Ballotpedia: https://ballotpedia.org/Mona_Singh,Campaign site: https://www.monaforwake.com/ | INDY primary questionnaire: https://indyweek.com/news/wake-county-board-of-county-commissioners-mona-singh-2026/
Wake County offices,County Commissioners,"Wake County Board of Commissioners, At-Large (vote for 2)",2,100%,Kyle Stogoski,Republican,no,Raleigh,gray,No position found,low,none,"Platform includes farmland protection, but no AI or data-center statement found.",,26-year-old southwest Raleigh community organizer; hourly and front-line work history; left Wake Tech during a period of homelessness.,"""Broad Prosperity Initiative"": starter-home ownership, local business, outcome-tied workforce spending, farmland protection, government accountability.",Campaign site: https://www.stogoskiforwake.com/ | Platform: https://www.stogoskiforwake.com/platform | Ballotpedia: https://ballotpedia.org/Kyle_Stogoski,Ballotpedia: https://ballotpedia.org/Kyle_Stogoski
Wake County offices,County Commissioners,"Wake County Board of Commissioners, At-Large (vote for 2)",2,100%,Gary Dale Hartong,Republican,no,Wake Forest,gray,No position found,low,none,No AI or data-center statement found.,,"Professional engineer; president of The Wooten Company (civil and environmental engineering, water and sewer).","Platform: prioritize infrastructure (roads, water, sewer, parks, broadband), modernize schools, support business.",Campaign site: https://www.garyforwake.org/ | Ballotpedia: https://ballotpedia.org/Gary_Hartong,Ballotpedia: https://ballotpedia.org/Gary_Hartong
Wake County offices,County Commissioners,"Wake County Board of Commissioners, District 3",1,83.4%,Cheryl F. Stallings,Democratic,yes,Apex,gray,No position found,low,none,No AI or data-center statement found.,,Wake County commissioner.,Voted for the WakeMed-Atrium Health deal (Sept 2026). Wake County has not considered a data-center moratorium.,Wikipedia: https://en.wikipedia.org/wiki/Cheryl_Stallings | Wake commissioners page: https://www.wake.gov/departments-government/board-commissioners/about-board/commissioners,NC Health News: WakeMed-Atrium vote: https://www.northcarolinahealthnews.org/2026/09/22/commissioners-clear-way-for-atrium-wakemed/
Wake County offices,County Commissioners,"Wake County Board of Commissioners, District 7",1,11.7%,Vickie Adamson,Democratic,yes,Raleigh,gray,No position found,low,none,No AI or data-center statement found.,,Wake County commissioner.,"Voted against the WakeMed-Atrium Health deal (Sept 2026), objecting that the documents arrived days before the vote.",Wake commissioners page: https://www.wake.gov/departments-government/board-commissioners/about-board/commissioners,NC Health News: WakeMed-Atrium vote: https://www.northcarolinahealthnews.org/2026/09/22/commissioners-clear-way-for-atrium-wakemed/
Wake County offices,Sheriff,Wake County Sheriff,1,100%,Willie Rowe,Democratic,yes,Raleigh,gray,No position found,high,na,Office does not set AI or data-center policy; none found.,,"Sheriff since 2022; joined the Sheriff's Office in 1985, retired in 2013.","Points to community engagement, staffing gains and mental-health initiatives. Jail has been over capacity (he attributes it to Iryna's Law); county added $7M for overcrowding costs; 840 beds being added; plans 200-300 more deputies over five years.",Campaign site: https://www.roweforsheriff.com/ | Ballotpedia: https://ballotpedia.org/Willie_Rowe,Wake Weekly: competing visions: https://www.wakeweekly.com/news/rowe-and-blackwell-outline-competing-visions-for-wake-county-sheriff-92928238 | Jail overcrowding coverage: https://www.yahoo.com/news/us/articles/wake-county-sheriff-cites-overcrowding-212338180.html
Wake County offices,Sheriff,Wake County Sheriff,1,100%,Kenny Blackwell,Republican,no,Wake Forest,gray,No position found,high,na,Office does not set AI or data-center policy; none found.,,Former Wake deputy and U.S. Marshal; now a State Capitol Police investigator.,"Platform: faster response times, more visible patrol, rebuild investigative units, focus on opioids and human trafficking, mental-health services, higher pay.",Campaign site (unverified): https://www.kenny4wake.com | Ballotpedia: https://ballotpedia.org/Kenny_Blackwell,Wake Weekly: competing visions: https://www.wakeweekly.com/news/rowe-and-blackwell-outline-competing-visions-for-wake-county-sheriff-92928238
Wake County offices,Clerk of Superior Court,Wake County Clerk of Superior Court,1,100%,Claudia C. Croom,Democratic,yes,Raleigh,gray,No position found,high,na,Office does not set AI or data-center policy; none found.,,Appointed clerk in January 2026 after 17+ years as a Wake civil magistrate and 10 years in private practice.,,Campaign site: https://www.claudiacroom.com/ | Ballotpedia: https://ballotpedia.org/Claudia_Croom,Ballotpedia: https://ballotpedia.org/Claudia_Croom
Wake County offices,Clerk of Superior Court,Wake County Clerk of Superior Court,1,100%,"Joe E. Teague, Jr.",Republican,no,Raleigh,gray,No position found,high,na,Office does not set AI or data-center policy; none found.,,Little public information found.,,"Ballotpedia: Wake 2026 elections: https://ballotpedia.org/Wake_County,_North_Carolina,_elections,_2026","Ballotpedia: Wake 2026 elections: https://ballotpedia.org/Wake_County,_North_Carolina,_elections,_2026"
Local courts and DA,District Attorney,"District Attorney, Prosecutorial District 10 (Wake)",1,100%,Wiley Nickel,Democratic,no,Raleigh,gray,No position found,high,na,Office does not set AI or data-center policy; none found.,,"Former U.S. Representative (NC-13, 2023-2025) and state senator.",Won a 3-way Democratic primary with 49%. Priorities: public-corruption investigations and roughly doubling the DA office's staff.,Campaign site (unverified): https://www.wileynickel.com | Wikipedia: https://en.wikipedia.org/wiki/Wiley_Nickel,WUNC: Nickel wins DA primary: https://www.wunc.org/politics/2026-03-04/wiley-nickel-wins-wake-county-district-attorney | Axios: Nickel wants to expand DA office: https://www.axios.com/local/raleigh/2026/03/16/wiley-nickel-wants-to-significantly-expand-the-wake-county-das-office
Local courts and DA,Superior Court Judge,"Superior Court Judge, District 10D Seat 1",1,48.3%,Keith Gregory,Democratic,yes,Cary (27513),gray,No position found,high,na,Judicial race; no AI or data-center position expected or found.,,Superior Court judge since his 2018 appointment by Gov. Cooper; district court judge for about eight years before that.,,Ballotpedia: https://ballotpedia.org/Keith_O._Gregory,INDY candidate page: https://indyweek.com/news/elections-news/keith-gregory/ | Ballotpedia: https://ballotpedia.org/Keith_O._Gregory
